⺁	{⺁} px
𪐋	黍兼 uj
𪐌	黍匿 un
𪐍	黍連 ul
𪐎	黍麻 um
𪐏	. ud
𪐑	黍离 ul
𪐒	黍复 uf
𪐓	黍束 uu
𪐔	黍遺 uy
𪐕	黍甘 ug
𪐖	黍龍 ul
𪐗	火火 hh｜囗炎 ky
𪐘	黑乙 hy
𪐙	黑卜 hb
𪐛	黑刀 hd
𪐜	黑乞 hq
𪐝	黑大 hd
𪐞	. hv｜黑七 hq
𪐟	黑丸 hw
𪐠	黑一 ha
𪐡	大黑 dh｜黑大 hd
𪐣	黑子 hz
𪐤	黑尤 hy
𪐥	黑太 ht
𪐦	黑亢 hk
𪐧	黑予 hy
𪐨	黑冗 hr
𪐩	黑火 hh
𪐪	黑一 ha
𪐫	黑攵 hw
𪐬	黑元 hy
𪐭	黑兮 hx
𪐮	黑殳 hu
𪐯	黑勾 hg
𪐰	黑文 hw｜文黑 wh
𪐱	黑介 hj
𪐲	. hv
𪐳	黑小 hx
𪐴	黑主 hv
𪐵	黑且 hq
𪐶	黑丶 hd
𪐸	黑令 hl
𪐹	黑乃 hn
𪐺	黑禾 hh
𪐻	黑付 hf
𪐼	黑包 hb
𪐽	黑出 hi｜出黑 ih
𪐿	. hj
𪑀	黑灰 hh
𪑁	黑伊 hy
𪑂	黑杀 hu
𪑃	黑册 hc
𪑄	黑丿 hp
𪑅	黑会 hh
𪑆	黑戍 hu
𪑇	黑合 hh
𪑈	黑見 hj
𪑉	黑又 hy
𪑊	黑肖 hx
𪑋	. hl｜黑寸 hc
𪑌	黑谷 hg
𪑍	黑几 hj
𪑎	黑且 hq
𪑏	黑余 hy
𪑐	黑尾 hw｜尾黑 wh
𪑒	黑享 hx
𪑓	黑炎 hy
𪑔	黑录 hl
𪑕	黑昏 hh
𪑖	黑奔 hb
𪑗	黑妾 hq
𪑘	黑木 hm
𪑙	黑金 hj
𪑚	黑來 hl
𪑛	黑攵 hw｜山攵 uw
𪑜	黑知 hv
𪑝	黑或 hh
𪑞	黑木 hm
𪑟	黑刺 hc｜刺黑 ch
𪑠	黑隶 hl
𪑡	黑念 hn
𪑢	黑攵 hw｜牙黑 yh
𪑣	黑几 hj
𪑤	二黑 eh｜黑力 hl
𪑥	黑目 ho
𪑦	黑曷 hh
𪑧	. hy｜黑木 hm
𪑨	黑柰 hn
𪑩	黑共 hg
𪑪	黑冠 hg｜冠黑 gh
𪑫	黑豕 hu
𪑬	黑亭 ht
𪑭	黑奎 hk
𪑮	黑南 hn
𪑯	黑律 hl
𪑰	黑屏 hp
𪑱	黑屋 hw
𪑲	黑冤 hy
𪑳	黑貞 hv
𪑴	黑禹 hy
𪑶	黑柔 hr
𪑷	黑巾 hj
𪑸	黑頁 hy
𪑹	黑界 hj
𪑺	黑土 ht
𪑻	黑侯 hh
𪑼	黑建 hj
𪑽	黑柴 hi
𪑾	. hc｜黑辱 hr
𪑿	黑兹 hz
𪒀	黑般 hb｜般黑 bh
𪒁	黑厂 hi｜來黑 lh
𪒂	. hu｜黑目 ho
𪒃	黑彧 hy
𪒄	黑冥 hm
𪒅	黑力 hl｜來黑 lh
𪒆	黑秦 hq
𪒇	黑旦 hd
𪒈	黑廾 hc
𪒉	黑氣 hq
𪒊	. hv｜黑又 hy
𪒋	黑般 hb
𪒌	黑一 ha
𪒍	黑林 hl｜冖黑 bh
𪒎	黑电 hd
𪒏	黑鹿 hl
𪒐	黑覓 hm
𪒑	黑責 hz
𪒒	黑庸 hy
𪒓	黑丿 hp
𪒔	. hi｜黑离 hl
𪒕	黑異 hy｜異黑 yh
𪒖	黑奎 hk
𪒘	黑登 hd
𪒙	黑最 hz
𪒚	黑黍 hu｜黍黑 uh
𪒛	黑隊 hd
𪒜	黑惠 hh
𪒝	黑雲 hy
𪒞	黑犬 hq｜冂黑 kh
𪒟	黑曾 hc
𪒠	黑敢 hg
𪒡	黑逮 hd
𪒢	. hp｜黑夫 hf
𪒣	黑儿 he
𪒤	黑覃 ht
𪒥	黑越 hy
𪒦	黑貝 hb
𪒧	黑詹 hv
𪒨	黑多 hd｜夹黑 jh
𪒩	黑歲 hs
𪒪	黑萬 hw
𪒫	. hj｜黑僉 hq
𪒬	黑農 hn
𪒭	黑禽 hq
𪒮	黑殿 hd
𪒯	. hj
𪒰	黑賁 hb
𪒱	黑愛 ha
𪒲	黑業 hy
𪒴	黑臺 ht
𪒵	黑冖 hb｜𠂆黑 ph
𪒶	黑對 hd
𪒸	囗又 ky
𪒹	. hh｜黑箴 hv
𪒺	黑丿 hp｜黍黑 uh
𪒻	黑黑 hh
𪒼	黑蔡 hc
𪒾	. ht｜黑大 hd
𪒿	. ht｜黑馬 hm
𪓀	黑歷 hl
𪓁	黑寸 hc
𪓂	黑曇 ht
𪓃	黑襄 hx
𪓄	. hi｜黑兔 ht
𪓅	黑藏 hc
𪓆	黑大 hd
𪓉	黑寸 hc
𪓊	黑鬱 hy
𪓋	黹米 vm
𪓌	黹卒 vz
𪓎	黹扁 vb
𪓏	民黹 mv｜黹支 vv
𪓐	. vc｜黹且 vq
𪓑	黽丿 mp｜丿黽 pm
𪓒	九黽 jm｜黽九 mj
𪓓	丩黽 jm｜黽丩 mj
𪓔	卝黽 cm｜黽卝 mc
𪓕	口日 ko
𪓖	六黽 lm｜黽六 ml
𪓗	夫黽 fm｜黽夫 mf
𪓘	. rm
𪓙	冂黽 km｜黽人 mr
𪓚	黽冉 mr
𪓛	黽央 my
𪓜	黽皮 mp｜皮黽 pm
𪓝	丿𫜹 px
𪓞	黽句 mj
𪓟	句黽 jm｜黽句 mj
𪓠	包黽 bm｜黽包 mb
𪓡	. mh
𪓢	臼黽 jm｜黽臼 mj
𪓣	黽乛 ma｜元黽 ym
𪓤	圭日 go
𪓥	黽羽 my｜羽黽 ym
𪓦	黽羽 my｜羽黽 ym
𪓧	辰黽 im｜黽辰 mi
𪓨	白黽 bm｜黽匕 mb
𪓩	局黽 jm｜黽局 mj
𪓬	黽兒 me｜兒黽 em
𪓭	黽叕 mv｜叕黽 vm
𪓮	黽曷 mh｜曷黽 hm
𪓯	黽弭 mm
𪓰	黽酋 mq｜酋黽 qm
𪓱	黽面 mm
𪓲	黽皿 mm｜日黽 om
𪓳	黽天 mt｜矢黽 um
𪓴	黽攵 mw｜土黽 tm
𪓵	黽酋 mq｜酋黽 qm
𪓶	出黽 im｜黽攵 mw
𪓷	黽奚 mx｜奚黽 xm
𪓸	留黽 lm｜黽留 ml
𪓹	麻黽 mm
𪓺	黽勝 mu｜勝黽 um
𪓻	黽田 mt
𪓼	黽亶 md｜亶黽 dm
𪓽	單黽 dm｜黽單 md
𪓾	敖黽 am｜黽敖 ma
𪓿	黽爾 me｜爾黽 em
𪔀	丶黽 dm｜黽攵 mw
𪔁	禾黽 hm｜黽灬 mh
𪔃	. dj
𪔄	鼎土 dt｜土鼎 td
𪔅	鼎口 dk
𪔆	鼎干 dg
𪔇	鼎木 dm｜木鼎 md
𪔈	鼎女 dn｜口女 kn
𪔉	亠鼎 wd
𪔊	鼎慧 dh
𪔋	鼓土 gt
𪔌	鼓土 gt｜土鼓 tg
𪔍	鼓丰 gf
𪔎	鼓云 gy
𪔐	鼓古 gg
𪔑	鼓石 gu
𪔒	鼓罒 gs｜罒鼓 sg
𪔓	鼓召 gv
𪔔	. gj
𪔕	鼓缶 gf
𪔖	鼓虫 gi
𪔗	鼓因 gy
𪔘	. gi
𪔙	鼓羊 gy
𪔚	鼓同 gt
𪔛	鼓兆 gv
𪔜	鼓甬 gy
𪔝	鼓角 gj
𪔞	鼓丰 gf
𪔟	鼓豕 gu
𪔢	鼓生 gu
𪔣	鼓空 gk
𪔤	鼓月 go
𪔥	鼓丨 ga｜丿鼓 pg
𪔦	鼓洞 gd
𪔧	鼓音 gy
𪔨	鼓革 gg
𪔩	鼓咸 gx
𪔪	. gj｜鼓耳 ge
𪔫	屮鼓 cg｜鼓屮 gc
𪔬	鼓木 gm
𪔭	鼓贲 gb
𪔮	鼓盍 gh
𪔯	鼓戚 gq
𪔱	鼓淵 gy
𪔲	鼓逢 gf
𪔳	鼓隆 gl｜隆鼓 lg
𪔴	鼓隆 gl
𪔵	鼓賁 gb
𪔶	. gi｜鼓登 gd
𪔷	鼓龍 gl
𪔸	鼠刁 ud
𪔹	鼠刀 ud
𪔺	鼠刃 ur
𪔻	鼠攵 uw
𪔼	鼠久 uj
𪔽	. uy｜鼠冖 ub
𪔾	. uj
𪔿	. uw｜鼠攴 up
𪕀	鼠元 uy
𪕁	鼠冗 ur
𪕂	鼠殳 uu
𪕃	鼠方 uf
𪕄	鼠一 ua
𪕅	鼠屯 ut
𪕆	鼠欠 uq
𪕇	鼠亢 uk
𪕈	鼠日 uo
𪕉	鼠乎 uh
𪕊	鼠此 uc｜此鼠 cu
𪕋	鼠卯 um
𪕌	鼠令 ul
𪕍	. uh｜鼠口 uk
𪕎	. ur
𪕏	鼠穴 ux
𪕐	鼠占 uv
𪕑	鼠此 uc
𪕒	鼠并 ub
𪕓	鼠光 ug
𪕔	鼠耳 ue
𪕕	鼠虫 ui
𪕗	光鼠 gu｜鼠光 ug
𪕘	各鼠 gu｜鼠各 ug
𪕙	鼠同 ut
𪕛	鼠含 uh
𪕜	鼠吴 uw
𪕝	鼠足 uz
𪕞	. uj｜鼠夂 uw
𪕟	鼠伏 uf
𪕠	鼠灵 ul
𪕡	鼠吾 uw｜吾鼠 wu
𪕢	一鼠 au
𪕣	鼠工 ug
𪕤	鼠女 un
𪕥	鼠冏 uj
𪕦	鼠尤 uy
𪕧	鼠弟 ud
𪕨	鼠兒 ue
𪕩	鼠易 uy
𪕪	鼠隹 uv｜隹鼠 vu
𪕫	. uy｜鼠勿 uw
𪕬	鼠帝 ud
𪕭	鼠曷 uh
𪕮	鼠胡 uh
𪕯	鼠頁 uy
𪕰	鼠叚 uj
𪕱	鼠胡 uh
𪕲	鼠田 ut
𪕳	鼠思 us
𪕴	鼠風 uf
𪕵	鼠時 uu
𪕶	鼠益 uy
𪕷	鼠殳 uu｜土鼠 tu
𪕸	鼠殳 uu
𪕹	鼠唐 ut
𪕺	鼠豹 ub
𪕻	𠂆鼠 pu｜鼠虎 uh
𪕼	兼鼠 ju｜鼠兼 uj
𪕽	鼠又 uy
𪕾	鼠芻 ui
𪕿	鼻冗 br
𪖀	鼠雀 uq
𪖁	鼠從 uc
𪖂	. ui｜鼠离 ul
𪖃	鼠殳 uu
𪖄	鼠教 uj
𪖅	鼠賁 ub
𪖆	鼠發 uf
𪖇	鼠番 uf
𪖈	. up｜鼠夫 uf
𪖉	鼠斯 us
𪖊	鼠業 uy
𪖋	鼠截 uj
𪖌	鼠盧 ul
𪖍	鼠歷 ul
𪖎	鼠戈 ug｜鼠韱 ux
𪖏	鼠瞿 uq
𪖐	鼻乚 bg
𪖑	鼻乚 bg
𪖒	鼻九 bj｜九鼻 jb
𪖓	鼻久 bj
𪖔	鼻刃 br
𪖕	鼻牙 by｜牙鼻 yb
𪖖	鼻攵 bw
𪖗	鼻欠 bq
𪖘	鼻斗 bd
𪖙	鼻勾 bg
𪖚	鼻占 bv
𪖛	鼻丘 bq
𪖜	鼻土 bt
𪖝	鼻口 bk
𪖞	鼻皮 bp
𪖟	鼻甘 bg
𪖡	鼻危 bw
𪖢	鼻圭 bg
𪖣	鼻至 bv
𪖤	鼻危 bw｜危鼻 wb
𪖥	鼻希 bx
𪖦	鼻弟 bd
𪖧	鼻又 by
𪖨	鼻夾 bj
𪖩	鼻皿 bm
𪖪	鼻希 bx｜希鼻 xb
𪖮	鼻一 ba
𪖯	鼻扁 bb
𪖰	鼻帝 bd
𪖱	鼻邑 by
𪖲	鼻叚 bj
𪖳	鼻兼 bj
𪖴	鼻氣 bq
𪖵	鼻邕 by｜邕鼻 yb
𪖶	鼻率 bl
𪖷	. bl
𪖸	鼻且 bq｜虍鼻 hb
𪖹	鼻婁 bl
𪖻	鼻死 bs
𪖼	. bc｜鼻日 bo
𪖽	鼻替 bt
𪖾	鼻嵬 bw
𪖿	鼻雍 by
𪗁	鼻歷 bl
𪗂	. bi｜鼻兔 bt
𪗃	鼻甕 bw
𪗄	十丨 ua
𪗅	齊又 qy
𪗆	齊广 qg｜广齊 gq
𪗇	齊月 qo
𪗈	齊歹 qd
𪗉	齊禾 qh
𪗊	出齊 iq｜齊出 qi
𪗋	. yq
𪗌	齊肉 qr
𪗍	齊妻 qq
𪗎	亠頁 wy
𪗏	齊魚 qy
𪗐	亠曾 wc
𪗑	齊夂 qw
𪗒	齊夂 qw｜齋夂 vw
𪗓	齊夂 qw｜齋夂 vw
𪗔	齒八 ib
𪗕	齒十 iu
𪗖	齒人 ir｜人齒 ri
𪗗	齒几 ij
𪗘	齒山 iu
𪗙	齒干 ig
𪗚	齒乙 iy
𪗛	齒开 ik
𪗜	齒亢 ik
𪗝	齒内 in
𪗞	齒亓 iq
𪗟	齒气 iq
𪗠	齒戈 ig
𪗡	齒攴 ip
𪗢	齒爪 iv
𪗣	齒勹 ig
𪗤	齒丹 id
𪗥	齒戊 iw
𪗦	齒占 iv
𪗧	齒史 iu
𪗨	齒出 ii
𪗩	齒它 it
𪗪	齒司 is
𪗫	齒失 iu
𪗬	齒加 ij｜加齒 ji
𪗭	齒奴 in｜奴齒 ni
𪗮	齒禾 ih
𪗯	齒充 ii
𪗰	齒玄 ix
𪗱	止且 vq
𪗲	丷令 bl
𪗳	齒甘 ig
𪗴	. ir｜齒几 ij
𪗵	齒奴 in
𪗶	此齒 ci｜齒此 ic
𪗷	齒旨 iv
𪗸	齒名 im
𪗹	齒圭 ig
𪗺	齒寺 is
𪗻	齒至 iv
𪗼	齒色 is
𪗽	齒舌 iu
𪗾	齒吉 ij
𪗿	齒列 il
𪘀	齒并 ib
𪘁	齒合 ih
𪘂	主米 vm
𪘃	齒有 iy
𪘄	齒匕 ib
𪘅	虫齒 ii
𪘆	齒休 ix
𪘇	齒后 ih
𪘈	齒兆 iv
𪘉	齒朵 id
𪘊	齒各 ig
𪘋	齒幺 iy
𪘍	齒同 it
𪘎	齒言 iy
𪘏	足齒 zi
𪘐	齒我 iw
𪘑	. ij｜齒夂 iw
𪘒	齒含 ih
𪘓	齒佐 iz｜佐齒 zi
𪘔	齒折 iv｜折齒 vi
𪘕	齒佗 it｜佗齒 ti
𪘖	齒劫 ij
𪘗	齒也 iy｜亻齒 ri
𪘘	齒夾 ij
𪘙	齒言 iy｜言齒 yi
𪘚	止吾 vw
𪘛	. iv
𪘜	齒束 iu
𪘝	齒辰 ii
𪘞	齒肖 ix
𪘟	齒匕 ib
𪘠	齒一 ia
𪘡	齒佐 iz
𪘢	齒口 ik
𪘣	齒尾 iw
𪘤	齒寸 ic
𪘥	齒制 iv
𪘧	齒卒 iz
𪘨	齒來 il
𪘩	. ij｜齒囷 iq
𪘪	齒戔 ij
𪘫	齒一 ia
𪘬	. iy｜齒圭 ig
𪘭	齒囷 iq
𪘮	齒隹 iv
𪘯	齒攵 iw｜牙齒 yi
𪘰	齒虎 ih
𪘱	齒肴 iy
𪘲	齒宜 iy
𪘳	齒屈 iq
𪘴	齒丑 ii
𪘶	齒門 im
𪘷	齒所 is｜所齒 si
𪘸	取齒 qi｜齒取 iq
𪘹	齒曷 ih
𪘺	齒客 ik
𪘻	齒攵 iw｜未齒 wi
𪘼	齒剌 il｜剌齒 li
𪘽	齒虐 in
𪘾	. ii｜齒臼 ij
𪘿	齒柴 ii
𪙀	齒胥 ix
𪙁	齒查 ii
𪙂	齒列 il
𪙃	齒咼 ig
𪙄	八齒 bi｜齒左 iz
𪙅	齒又 iy
𪙆	齒月 io
𪙇	齒月 io｜尸齒 ui
𪙈	齒狠 ih｜狠齒 hi
𪙉	齒差 ii
𪙊	齒兼 ij
𪙋	齒心 ix
𪙌	齒屑 ix｜屑齒 xi
𪙍	. if｜齒寸 ic
𪙎	齒倉 ic
𪙏	齒害 ih
𪙐	齒荖 il｜荖齒 li
𪙑	齒屑 ix
𪙒	齒从 ic
𪙓	圭齒 gi｜齒尤 iy
𪙔	亠齒 wi
𪙕	齒展 iv
𪙖	齒大 id｜丿齒 pi
𪙗	齒芻 ii
𪙘	齒耳 ie
𪙙	齒米 im
𪙚	齒咼 ig
𪙛	齒匿 in
𪙜	齒窒 iv
𪙝	齒將 ij
𪙞	. ii｜齒生 iu
𪙟	齒堇 ij
𪙠	敖齒 ai｜齒敖 ia
𪙡	齒曹 ic
𪙢	齒畏 iw
𪙣	齒單 id
𪙥	. ix｜齒冂 ik
𪙦	齒最 iz
𪙧	齒幾 ij
𪙨	齒間 ij
𪙩	齒閒 ix
𪙪	齒禾 ih｜厂齒 ii
𪙫	齒虚 ix
𪙬	齒舌 iu｜舌齒 ui
𪙭	齒曾 ic
𪙮	齒日 io
𪙯	. iw
𪙰	齒葛 ig
𪙱	丶齒 di｜齒禾 ih
𪙲	齒艮 ig｜豕齒 ui
𪙳	齒置 iv
𪙴	齒義 iy
𪙵	齒亶 id
𪙶	齒舌 iu｜易齒 yi
𪙸	齒工 ig
𪙹	齒齒 ii
𪙺	齒厲 il
𪙻	齒戈 ig
𪙼	齒工 ig｜亻齒 ri
𪙽	齒歷 il
𪙾	齒盧 il
𪙿	虍齒 hi｜齒鬲 ig
𪚀	耳齒 ei｜齒八 ib
𪚁	齒聯 il｜聯齒 li
𪚂	齒薄 ib
𪚃	. ii｜齒兔 it
𪚄	齒聯 il
𪚅	齒爵 ij
𪚆	齒齒 ii｜齒殳 iu
𪚇	齒贊 iz
𪚈	齒簿 ib
𪚉	齒顛 id
𪚊	虍齒 hi｜齒犬 iq
𪚋	齒獻 ix
𪚌	齒屬 iu
𪚍	齒差 ii
𪚎	齒齒 ii｜亠齒 wi
𪚏	齿并 ib
𪚐	牙齿 yi
𪚑	龍巾 lj
𪚒	干龍 gl｜龍干 lg
𪚓	龍犭 lq｜犭龍 ql
𪚔	龍大 ld
𪚕	今龍 jl｜龍今 lj
𪚖	龍片 lp｜片龍 pl
𪚗	歹龍 dl｜龍歹 ld
𪚘	龍丹 ld｜丹龍 dl
𪚙	龍令 ll
𪚜	龍开 lk
𪚝	龍圭 lg｜圭龍 gl
𪚞	龍有 ly
𪚟	干干 gg｜龍干 lg
𪚠	龍巫 lw
𪚡	谷龍 gl｜龍谷 lg
𪚢	龍飛 lf
𪚣	声龍 ul｜龍殳 lu
𪚤	龍望 lw
𪚥	龍龍 ll
𪚦	一乂 ai
𪚧	丿甲 pj
𪚨	穴乂 xi
𪚩	口龜 kg
𪚪	夕龜 xg
𪚫	龜丹 gd
𪚬	龜今 gj
𪚭	龜勾 gg
𪚮	冂龜 kg
𪚯	火龜 hg
𪚰	龜灬 gh
𪚱	火龜 hg
𪚳	龜二 ge
𪚴	. ay
𪚵	勾龜 gg
𪚶	龜句 gj
𪚷	皮龜 pg
𪚸	去龜 qg
𪚹	主龜 vg
𪚺	丿丘 pq
𪚻	央龜 yg
𪚼	禾龜 hg
𪚽	龜冬 gd
𪚾	丿貝 pb
𪚿	丿車 pi
𪛀	交龜 jg
𪛁	禾龜 hg
𪛂	崔龜 cg
𪛃	丿區 pq
𪛄	口𫜹 kx
𪛆	. iy
𪛈	雨龜 yg
𪛉	丿吕 pl
𪛊	龠斤 yj
𪛋	龠昌 yi
𪛌	龠虎 yh
𪛍	龠丁 yd
𪛎	洎龠 jy｜龠洎 yj
𪛏	龠音 yy
𪛐	出龠 iy｜龠欠 yq
𪛑	火龠 hy｜龠儿 ye
𪛒	籥殳 yu
𪛓	龠鹿 yl
𪛔	籥虎 yh
𪛕	龠龜 yg
𪛖	龠灬 yh
𪛞	王荣 wr
𪛟	目王 ow
𪜀	丨一 aa
𪜁	. ya
𪜂	. yw
𪜃	. yy｜. qy
𪜄	不可 bk
𪜅	一井 aj｜十井 uj
𪜆	一𰀁 af
𪜇	万僉 wq
𪜉	中平 vp
𪜋	主丆 va
𪜌	乃日 no｜乃日 nr
𪜍	千兆 qv
𪜎	乔亢 qk
𪜏	丿屮 pc｜夭屮 yc
𪜐	乙化 yh
𪜒	乙吉 yj
𪜔	九曲 jq
𪜗	九或 jh
𪜙	九升 ju
𪜛	乳布 rb
𪜜	北了 bl
𪜝	予其 yq
𪜞	云秦 yq
𪜟	孰云 uy
𪜠	亠凡 wf
𪜣	亠代 wd｜六代 ld
𪜤	亠隹 wv
𪜥	亠臣 wi
𪜦	亭留 tl
𪜧	亻㐅 ri
𪜨	亻女 rn
𪜩	亻勾 rg
𪜪	亻匕 rb
𪜫	亻丑 ri
𪜬	人未 rw
𪜮	亻目 ro
𪜯	亻另 rl
𪜱	人禾 rh
𪜲	亻斥 ri
𪜳	亻民 rm
𪜵	亻旨 rv
𪜶	亻因 ry
𪜷	亻朵 rd｜人十 ru
𪜸	亻字 rz
𪜹	亻羽 ry
𪜺	亻纣 rv
𪜻	亻赤 ri
𪜼	亻牛 rn
𪜾	亻助 rv
𪜿	亻女 rn
𪝀	亻角 rj
𪝂	亻旦 rd
𪝃	余叉 yi
𪝄	人亏 rk
𪝆	亻芳 rf
𪝇	亻攵 rw
𪝈	亻受 ru
𪝉	. ry｜亻条 rt
𪝊	亻底 rd
𪝋	人目 ro｜亻相 rx
𪝌	亻田 rt
𪝍	亻胡 rh
𪝎	亻柃 rl
𪝑	亻皿 rm
𪝒	亻段 rd
𪝓	人月 ro
𪝔	亻怨 ry
𪝕	亻盆 rp
𪝖	亻貢 rg
𪝗	來允 ly
𪝙	亻盍 rh
𪝛	亻殷 ry
𪝝	. ry｜亻朕 rv
𪝞	亻益 ry
𪝟	亻弱 rr
𪝠	亻戈 rg
𪝡	. ry｜亻莫 rm
𪝢	亻衣 ry
𪝣	人可 rk｜亻寄 rj
𪝥	亻而 re
𪝦	亻喆 rv
𪝧	人火 rh｜亻晱 ru
𪝨	. ry｜亻米 rm
𪝩	佯巾 yj
𪝪	假亅 ja
𪝫	亻取 rq
𪝭	亻虞 ry
𪝯	位寸 wc
𪝰	亻瑪 rm
𪝱	催亅 ca
𪝲	秋住 qv
𪝳	人二 re｜亻漢 rh
𪝷	亻霓 rn
𪝸	亻雯 rw
𪝺	亻霞 rx
𪝾	人日 ro｜亻春 ri
𪝿	凵儿 ke｜儿日 eo
𪞁	儿厶 es｜免厶 ms
𪞂	免早 mz
𪞃	光星 gx
𪞆	光粲 gc
𪞇	全分 qf
𪞊	八商 bu
𪞋	巳共 sg｜. by
𪞐	冖孑 bj
𪞑	冖中 bv
𪞒	冖斗 bd
𪞓	冖食 bu
𪞕	冖夯 bh
𪞖	冫凡 df
𪞗	冫内 dn
𪞘	冫今 dj
𪞙	冫文 dw
𪞚	冫尺 di
𪞛	冫田 dt
𪞜	冫白 db
𪞝	. df
𪞞	冫成 di
𪞟	冫人 dr｜古丶 gd
𪞠	冷了 ll
𪞡	冫佘 du
𪞢	冫圭 dg
𪞣	冫虎 dh
𪞤	冫念 dn
𪞥	冫宗 dz
𪞦	冫胃 dw
𪞨	冫亭 dt
𪞩	冫隹 dv
𪞪	冫釜 df
𪞫	冫敕 di
𪞬	冫章 dv
𪞭	冫堯 dy
𪞮	冫零 dl
𪞯	冫豪 dh
𪞰	冫闖 di
𪞱	十冗 ur
𪞲	几占 jv
𪞳	几乖 jg｜乖几 gj
𪞶	凵一 ka
𪞸	凵午 kw｜亠午 ww
𪞹	出忍 ir
𪞻	凵吴 kw｜亠吴 ww
𪞽	凵農 kn｜亠農 wn
𪞾	夫刂 fd
𪞿	屯刂 td
𪟀	刀方 df
𪟁	友刂 yd
𪟃	大刂 dd
𪟄	. bd
𪟅	冫刂 dd
𪟆	育刂 yd
𪟇	白刂 bd
𪟈	者刂 vd
𪟉	大刂 dd
𪟊	丆分 af｜刀八 db
𪟋	革刂 gd
𪟍	立刂 ld
𪟎	监刂 jd
𪟏	千刂 qd
𪟑	刀八 db｜方分 ff
𪟖	盡刂 jd
𪟗	加丁 jd
𪟘	丘力 ql｜力丘 lq
𪟛	力丸 lw｜氵力 dl
𪟜	沙力 ul｜力沙 lu
𪟝	力责 lz
𪟟	力鬼 lg｜丿力 pl
𪟠	力音 ly｜音力 yl
𪟢	力益 ly｜益力 yl
𪟣	口力 kl｜力艹 lc
𪟥	力華 lh｜華力 hl
𪟧	男男 nn｜力男 ln
𪟩	匕天 bt
𪟪	北不 bb
𪟫	比皇 bh
𪟮	匚𠃓 ky｜区𠃓 qy
𪟯	. yl
𪟲	匚贡 kg
𪟳	十亅 ua｜午亅 wa
𪟴	古乞 gq｜十乞 uq
𪟵	十丸 uw
𪟶	半尚 bu
𪟸	半旁 bp
𪟹	索令 sl
𪟺	十俞 uy
𪟻	隹十 vu｜十隹 uv
𪟾	未卜 wb｜卜未 bw
𪟿	卜卓 bv｜卓卜 vb
𪠀	卜圣 bu
𪠁	卩合 eh｜合卩 he
𪠂	又即 yj
𪠄	厂电 id
𪠆	厂并 ib
𪠇	厂赤 ii
𪠈	厂口 ik
𪠋	厂直 iv
𪠌	厂顷 iq
𪠎	厂心 ix
𪠏	厌皮 yp
𪠐	. iy
𪠑	厂寸 ic
𪠓	厂黄 ih
𪠔	厂殳 iu
𪠕	厂惟 iw
𪠖	厂夫 if
𪠘	厂解 ij
𪠙	厂尤 iy
𪠚	厂田 it
𪠛	厂敢 ig
𪠜	厶巾 sj
𪠟	厶冖 sb｜参冖 cb
𪠡	参两 cl
𪠣	㐅又 iy｜又㐅 yi
𪠤	刀又 dy｜又刀 yd
𪠥	又月 yo
𪠦	厂又 iy｜又土 yt
𪠧	覀又 xy｜又覀 yx
𪠨	臼又 jy｜又臼 yj
𪠩	佘又 uy｜又佘 yu
𪠪	尸又 uy｜又又 yy
𪠫	关反 gf
𪠬	𫜹又 xy｜又古 yg
𪠭	反阻 fz
𪠮	容又 ry｜又容 yr
𪠯	又區 yq｜區又 qy
𪠰	叕刖 vy
𪠲	口又 ky
𪠳	口车 ki
𪠴	口㐅 ki
𪠵	口仑 kl
𪠶	吐人 tr
𪠸	口乐 kl
𪠹	口示 ku｜示口 uk
𪠺	口执 kv
𪠻	口儿 ke
𪠼	口肉 kr
𪠽	口当 kd
𪠾	口舟 kv
𪡀	口乔 kq
𪡁	口充 ki
𪡃	口买 km
𪡄	口匣 kx
𪡇	口你 kn
𪡈	口伯 kb
𪡋	口佥 kq
𪡌	口欠 kq｜氵口 dk
𪡏	口连 kl
𪡐	右回 yh
𪡑	可汝 kr
𪡓	口昆 kk
𪡕	吻勿 ww
𪡖	史因 uy
𪡗	口欣 kx
𪡘	口𰀁 kf｜爻𰀁 yf
𪡙	口卩 ke
𪡛	口可 kk
𪡞	口贵 kg
𪡟	口俊 kj
𪡠	口泉 kq
𪡡	口訇 kh
𪡣	口由 ky
𪡤	口派 kp｜派口 pk
𪡧	口酋 kq
𪡪	口阝 ke｜辰口 ik
𪡫	口袁 ky
𪡬	百告 bg
𪡮	唄寸 bc
𪡰	口即 kj
𪡳	口台 kt｜立台 lt
𪡵	口涓 kj
𪡶	口冤 ky
𪡸	口接 kj
𪡹	口殳 ku｜声口 uk
𪡺	口赉 kl
𪡼	口大 kd
𪡿	口脛 kj
𪢁	口亳 kb
𪢃	口夂 kw
𪢄	口翌 ky
𪢅	口握 kw
𪢉	口筒 kt
𪢋	口贾 kj
𪢌	口阑 kl
𪢍	口結 kj
𪢎	口聖 ku
𪢐	口赖 kl
𪢑	口含 kh
𪢒	口数 ku
𪢕	口赘 kv
𪢗	口蜜 km
𪢙	口鬲 kg
𪢛	員争 yv
𪢞	乡向 xx｜口冂 kk
𪢠	口阑 kl
𪢢	喜宜 xy
𪢥	口邊 kb
𪢧	口聽 kt
𪢨	囗文 kw
𪢩	囗丕 kp
𪢪	囗羊 ky
𪢫	囗車 ki
𪢬	囗昆 kk
